ID,LOSSAPPROVALID,LOSSAPPROVALCOMCODE,VEHSERINAME,IS4S,REPAIRTYPE,COMPNAME,REGISTNO,SUMVERILOSS,DC,VERIFYFINALDATE
1734980,C2019140121050002427,14012105,上海大众桑塔纳,1,2,右后车门整形修复(中),RDFA320190000014574210,120,,2019/7/22 16:59
1734981,C2019520105080003261,52010508,一汽红塔金铃,0,5,格栅拆装,RDEA320190000014392454,100,,2019/7/3 9:09
1734982,C2019140116030003716,14011603,比亚迪S6,1,2,行李箱盖整形修复(中),RDFA320190000014536404,195,,2019/7/18 16:41
1734983,C2019440100710006936,44010071,佳乐CARENS,0,1,右前门(全喷),RDDG320190000014464435,320,,2019/7/9 0:24
1734984,C2019310100050002638,31010111,上海通用雪佛兰科沃兹,1,1,右前门(全喷),RDDG320190000014458452,300,,2019/7/11 21:31
1734985,C2019530116000001937,53011600,一汽大众速腾,1,3,右后内尾灯拆装,RDDG320190000014492235,18,,2019/7/17 18:11
1734986,C2019520112130000551,52011213,哈弗H6,0,1,前保险杠(半喷),RDFA320190000014580026,150,,2019/7/25 10:07
1734987,C2019320107100004848,32010710,广州本田缤智,1,1,左后门(全喷),RDDG320190000014420876,540,,2019/7/2 15:25
1734988,C2019220121200000302,22012120,奔腾X80,0,3,右后车门壳拆装,RDDC320190000014488108,35,,2019/7/10 15:57
1734989,C2019220100510017920,22010051,奔腾B70,0,1,右前门(全喷),RDDC320190000014471271,250,,2019/7/9 9:58
1734990,C2019530122200001261,53012220,上海大众桑塔纳,1,3,左后内尾灯拆装,RDDC320190000014542654,20,,2019/7/18 15:37
1734991,C2019310101110019200,31010111,德龙F2000,0,2,前围面板整形修复,RDDG320190000014372891,200,,2019/7/8 22:17
1734992,C2019430100310014611,43010031,广汽丰田雷凌,0,1,左前门(全喷),RDFA320190000014553496,220,,2019/7/20 13:29
1734993,C2019330110060006210,33011006,奔驰E级,1,1,左侧围车底边梁喷漆,RDDG320190000014440751,500,,2019/7/15 9:15
1734994,C2019530113560001279,53011356,长安睿行,0,1,右后叶子板(全喷),RDDG320190000014417243,315,,2019/7/1 13:30
1734995,C2019350106200000909,35010620,一汽大众宝来,0,2,左前车门整形修复(小),RDDG320190000014451867,50,,2019/7/17 9:42
1734996,C2019500102030001886,50010203,一汽奥迪A6,0,1,后保险杠(全喷),RDFA320190000014581666,450,,2019/7/28 11:15
1734997,C2019210100950008388,21010095,金杯海狮,0,1,左前轮旋喷漆,RDDG320190000014437491,100,,2019/7/7 10:38
1734998,C2019330100450001435,33011900,上海大众途观,0,1,行李箱盖(全喷),RDFA320190000014547275,332.5,,2019/7/21 11:47
1734999,C2019370103350000462,37010335,乐驰,1,3,后保险杠拆装(含附件),RDDC320190000014400667,75,,2019/7/10 18:36
1735000,C2019370108290005429,37010829,上海大众帕萨特,1,2,左前叶子板整形修复(小),RDFA320190000014565372,95,,2019/7/22 15:50
1735001,C2019440114150008681,44011415,东风本田思威,1,31,四轮定位(含调整),RDDG320190000014381506,152,,2019/7/8 9:52
1735002,C2019440100710006908,44010071,五菱宏光,1,1,左前叶子板(全喷),RDDG320190000014169620,450,,2019/7/12 12:51
1735003,C2019320109080006244,32010908,一汽奥迪A4,1,2,后保险杠修复(小),RDDC320190000014499403,300,,2019/7/14 11:50
1735004,C2019110108750000201,22011530,长安福特福睿斯,0,1,左前叶子板(全喷),RDDG320190000014222270,155,,2019/7/4 10:23
